state,zone
Andaman & Nicobar Islands,South
Andhra Pradesh,South
Arunachal Pradesh,North East
Assam,North East
Bihar,East
Chandigarh,North
Chhattisgarh,Central
DNH & DD,West
Goa,West
Gujarat,West
Haryana,North
Himachal Pradesh,North
Jammu & Kashmir,North
Jharkhand,East
Karnataka,South
Kerala,South
Ladakh,North
Lakshadweep,South
Madhya Pradesh,Central
Maharashtra,West
Manipur,North East
Meghalaya,North East
Mizoram,North East
NCT Delhi,North
Nagaland,North East
Odisha,East
Puducherry,South
Punjab,North
Rajasthan,North
Sikkim,North East
Tamil Nadu,South
Telangana,South
Tripura,North East
Uttar Pradesh,Central
Uttarakhand,Central
West Bengal,West
